Item Number 1               Name: Brother's medallion                                 Age:  500 years,   46 days 	Tags: Dangerous,Important,Magic,Remembered,Token,Trinket
Item Number 3               Name: Crumpled sketch of a flying machine                 Age:  281 years,  289 days 	Tags: NonMagic,Safe,Trinket
Item Number 4               Name: Vial of clear oil with a sweet scent                Age:    5 years,  216 days 	Tags: AlchemySupply,NonMagic,RawMaterial,Safe
Item Number 5               Name: Twisted copper spring                               Age:  207 years,  357 days 	Tags: NonMagic,Part,Safe,Tool
Item Number 6               Name: Set of three miniature screwdrivers                 Age:  325 years,  350 days 	Tags: NonMagic,Part,Safe,Tool
Item Number 7               Name: Worn spool of golden thread                         Age:   34 years,   73 days 	Tags: Clothing,NonMagic,Safe
Item Number 8               Name: Pocket-sized folding compass                        Age:  356 years,  130 days 	Tags: Device,NonMagic,Safe,Trinket
Item Number 9               Name: Clay marble with a swirling glaze                   Age:  446 years,  213 days 	Tags: NonMagic,Safe,Trinket
Item Number 10              Name: Paper-wrapped bundle of mixed screws                Age:    0 years,    6 days 	Tags: Part,RawMaterial,Recent,Remembered,Safe
Item Number 11              Name: Tin whistle, slightly dented                        Age:  292 years,  241 days 	Tags: NonMagic,Safe,Trinket
Item Number 12              Name: Sliver of smoked glass                              Age:  311 years,  294 days 	Tags: NonMagic,RawMaterial,Safe
Item Number 13              Name: Tinker's file, dulled with use                      Age:  279 years,    4 days 	Tags: NonMagic,Safe,Tool
Item Number 14              Name: Vial of quick-setting resin                         Age:  392 years,  164 days 	Tags: AlchemySupply,NonMagic,RawMaterial,Safe
Item Number 15              Name: Folded paper fan, painted with stars                Age:  349 years,  283 days 	Tags: NonMagic,Safe,Trinket
Item Number 16              Name: Personal trinket: Tiny silver thimble               Age:  156 years,  143 days 	Tags: Important,Remembered,Trinket
Item Number 17              Name: Drawstring pouch full of buttons                    Age:  169 years,  327 days 	Tags: Clothing,NonMagic,Safe,Trinket
Item Number 18              Name: Wooden cog with burned runes                        Age:  455 years,  264 days 	Tags: Magic,Part,Safe,Tool
Item Number 19              Name: Coil of copper wire                                 Age:  309 years,    9 days 	Tags: NonMagic,Part,RawMaterial,Safe
Item Number 20              Name: Empty inkwell with flecks of turquoise ink          Age:  336 years,  154 days 	Tags: Device,NonMagic,Safe
Item Number 21              Name: Chunk of beeswax                                    Age:   27 years,  249 days 	Tags: NonMagic,RawMaterial,Safe
Item Number 22              Name: Charcoal pencil worn to a nub                       Age:  492 years,   37 days 	Tags: NonMagic,RawMaterial,Safe
Item Number 23              Name: Cloth tape measure (frayed at 42”)                  Age:  340 years,   47 days 	Tags: Clothing,NonMagic,Safe
Item Number 24              Name: Brass monocle with cracked lens                     Age:  303 years,  195 days 	Tags: NonMagic,Safe,Trinket
Item Number 25              Name: Shard of polished sea glass                         Age:  397 years,  243 days 	Tags: NonMagic,Safe,Trinket
Item Number 26              Name: Leather strap with tiny buckles                     Age:  298 years,  180 days 	Tags: Clothing,NonMagic,Safe
Item Number 27              Name: Half-carved figurine of a cat                       Age:   77 years,  359 days 	Tags: NonMagic,Safe,Trinket
Item Number 28              Name: Pouch of dried lavender                             Age:  122 years,  152 days 	Tags: Clothing,NonMagic,Safe
Item Number 29              Name: Folded paper glider with writing on the wing        Age:   38 years,  307 days 	Tags: NonMagic,Safe,Trinket
Item Number 30              Name: Small metal stamp of a leaf                         Age:  440 years,  336 days 	Tags: NonMagic,Part,Safe
Item Number 31              Name: Personal trinket: Feather with metallic sheen       Age:   98 years,  152 days 	Tags: Important,Remembered,Safe,Trinket
Item Number 32              Name: Pair of fine tweezers                               Age:   72 years,  311 days 	Tags: NonMagic,Safe,Tool
Item Number 33              Name: Threaded brass ring (non-magical)                   Age:  258 years,  186 days 	Tags: Clothing,NonMagic,Safe
Item Number 34              Name: Piece of soft felt, indigo-dyed                     Age:  329 years,  296 days 	Tags: Clothing,NonMagic,Safe
Item Number 35              Name: Vial of powdered pigment (ochre)                    Age:  453 years,   28 days 	Tags: AlchemySupply,NonMagic,RawMaterial,Safe
Item Number 36              Name: Pocket sundial                                      Age:   50 years,   89 days 	Tags: Device,NonMagic,Safe
Item Number 37              Name: Small bell with a silent clapper                    Age:  327 years,  201 days 	Tags: Device,NonMagic,Safe
